30-03-2022 01:59:22:989 udp_servidor [INFO] : inici servidor
30-03-2022 01:59:22:992 udp_servidor [INFO] : Inici RemoteMapUDPservidor 
30-03-2022 01:59:22:992 udp_servidor [INFO] : server_port: 5836
30-03-2022 01:59:22:992 udp_servidor [INFO] : map: {k1=One, k3=Eleven, k4=Twenty-one}
30-03-2022 01:59:48:435 udp_servidor [TRACE] : Socket received
30-03-2022 01:59:48:436 udp_servidor [TRACE] : Socket sent
30-03-2022 01:59:48:439 udp_servidor [TRACE] : Socket received
30-03-2022 01:59:48:440 udp_servidor [TRACE] : Socket sent
30-03-2022 01:59:48:440 udp_servidor [TRACE] : Socket received
30-03-2022 01:59:48:441 udp_servidor [TRACE] : Socket sent
30-03-2022 13:02:08:583 udp_servidor [TRACE] : Socket received
30-03-2022 13:02:08:595 udp_servidor [TRACE] : Socket sent
30-03-2022 13:02:08:647 udp_servidor [TRACE] : Socket received
30-03-2022 13:02:08:648 udp_servidor [TRACE] : Socket sent
30-03-2022 13:02:08:649 udp_servidor [TRACE] : Socket received
30-03-2022 13:02:08:649 udp_servidor [TRACE] : Socket sent
